OTU_ID	1	2	3	4	5	6	7	8	9	10	11	12	13	Frequency
131	0	0	0	1	0	1	0	0	0	0	0	0	0	2
2528	0	0	1	0	0	0	1	0	0	0	0	0	0	2
1840	0	0	1	1	0	0	0	0	0	0	0	0	0	2
3883	0	0	0	1	0	1	0	0	0	0	0	0	0	2
5211	0	0	0	0	0	0	0	0	1	0	1	0	0	2
3973	0	0	0	0	0	0	0	0	1	0	0	1	0	2
2086	0	0	0	0	0	1	0	0	1	0	0	0	0	2
4851	0	0	0	0	0	0	0	0	0	1	0	1	0	2
699	0	0	0	0	0	0	0	1	0	0	0	1	0	2
4484	0	0	0	0	0	0	0	0	0	1	0	1	0	2
4535	0	0	0	0	0	0	1	0	0	0	0	1	0	2
5557	0	0	0	0	0	0	0	1	0	0	1	0	0	2
4767	0	0	0	0	0	0	0	0	0	0	1	1	0	2
1977	0	0	1	0	0	0	0	0	0	0	0	0	1	2
2038	0	0	1	0	0	1	0	0	0	0	0	0	0	2
2160	0	0	1	0	0	0	0	0	0	0	0	1	0	2
95	0	0	0	0	0	0	0	0	0	2	0	1	0	2
142	0	0	1	0	0	0	2	0	0	0	0	0	0	2
3657	0	0	2	0	0	0	0	0	0	1	0	0	0	2
5488	0	2	0	0	0	0	1	0	0	0	0	0	0	2
3505	0	0	0	0	0	0	2	0	1	0	0	0	0	2
5387	0	0	0	0	0	0	0	0	0	0	2	1	0	2
4263	0	0	0	0	0	0	0	0	0	0	0	1	2	2
385	2	1	0	0	0	0	0	0	0	0	0	0	0	2
5395	0	0	0	0	0	0	0	0	0	0	1	2	0	2
3929	0	0	0	2	0	0	0	1	0	0	0	0	0	2
4871	0	1	2	0	0	0	0	0	0	0	0	0	0	2
3220	0	0	2	0	0	0	1	0	0	0	0	0	0	2
373	0	0	1	0	2	0	0	0	0	0	0	0	0	2
3601	0	0	0	0	1	0	2	0	0	0	0	0	0	2
3457	0	0	0	0	0	0	0	1	0	0	2	0	0	2
1650	0	2	0	0	0	0	0	0	1	0	0	0	0	2
5276	0	0	0	0	0	0	1	0	0	2	0	0	0	2
3506	0	0	0	0	0	0	1	0	0	0	0	0	2	2
555	0	2	0	0	0	0	0	0	0	0	0	1	0	2
74	0	0	0	0	0	0	0	0	2	1	0	0	0	2
4854	0	2	0	0	1	0	0	0	0	0	0	0	0	2
5259	0	0	0	0	0	0	1	2	0	0	0	0	0	2
4411	0	0	0	0	0	0	0	0	2	0	0	1	0	2
2385	0	0	0	0	0	0	0	1	0	0	2	0	0	2
2664	1	2	0	0	0	0	0	0	0	0	0	0	0	2
2488	1	0	0	0	2	0	0	0	0	0	0	0	0	2
1684	0	0	0	0	1	0	0	0	0	2	0	0	0	2
4392	0	0	2	0	0	0	0	0	0	0	0	1	0	2
2954	0	0	1	0	0	0	0	0	0	2	0	0	0	2
3592	0	0	2	1	0	0	0	0	0	0	0	0	0	2
4895	1	0	0	0	0	0	2	0	0	0	0	0	0	2
5202	2	0	0	0	0	0	1	0	0	0	0	0	0	2
3497	0	0	0	0	0	1	0	0	2	0	0	0	0	2
3836	2	1	0	0	0	0	0	0	0	0	0	0	0	2
1934	2	0	0	0	0	0	1	0	0	0	0	0	0	2
4382	0	0	0	0	0	0	0	1	0	2	0	0	0	2
3572	0	0	0	0	0	1	0	0	0	2	0	0	0	2
2605	0	0	0	0	0	0	0	0	0	0	0	2	1	2
3564	0	0	0	0	0	0	0	2	0	0	0	0	1	2
3821	0	0	0	0	0	0	0	0	1	0	0	0	2	2
2947	0	0	0	0	0	0	0	0	0	0	1	2	0	2
4222	0	0	0	0	0	0	0	2	0	0	0	0	1	2
1643	0	0	1	0	0	2	0	0	0	0	0	0	0	2
2195	0	2	1	0	0	0	0	0	0	0	0	0	0	2
3014	0	0	2	0	0	0	0	0	0	0	1	0	0	2
2077	0	0	0	0	2	0	2	0	0	0	0	0	0	2
747	0	0	0	0	0	0	2	0	0	2	0	0	0	2
154	0	0	0	0	0	0	0	0	0	0	0	1	3	2
2885	0	0	0	0	0	0	0	0	2	0	2	0	0	2
5240	0	0	1	0	0	0	0	0	0	3	0	0	0	2
2943	0	0	0	0	0	0	1	0	0	3	0	0	0	2
